reltime,datetime,iSensor,confidence,heart_rate
65.984,2024/06/13 11:31:16.5039,5,1.0,62.0
66.188,2024/06/13 11:31:16.7079,3,1.0,64.0
66.229,2024/06/13 11:31:16.7489,5,1.0,62.0
66.475,2024/06/13 11:31:16.9949,5,1.0,62.0
66.681,2024/06/13 11:31:17.2009,3,1.0,64.0
66.722,2024/06/13 11:31:17.2419,5,1.0,62.0
66.927,2024/06/13 11:31:17.4469,3,1.0,64.0
66.968,2024/06/13 11:31:17.4879,5,1.0,62.0
67.174,2024/06/13 11:31:17.6939,3,1.0,64.0
67.214,2024/06/13 11:31:17.7339,5,1.0,62.0
67.42,2024/06/13 11:31:17.9399,3,1.0,64.0
67.461,2024/06/13 11:31:17.9809,5,1.0,62.0
67.665,2024/06/13 11:31:18.1849,3,1.0,64.0
67.707,2024/06/13 11:31:18.2269,5,1.0,62.0
67.912,2024/06/13 11:31:18.4319,3,1.0,64.0
67.954,2024/06/13 11:31:18.4739,5,1.0,62.0
68.158,2024/06/13 11:31:18.6779,3,1.0,64.0
68.2,2024/06/13 11:31:18.7199,5,1.0,62.0
68.405,2024/06/13 11:31:18.9249,3,1.0,64.0
68.651,2024/06/13 11:31:19.1709,3,1.0,64.0
68.693,2024/06/13 11:31:19.2129,5,1.0,62.0
68.898,2024/06/13 11:31:19.4179,3,1.0,64.0
68.939,2024/06/13 11:31:19.4589,5,1.0,62.0
69.185,2024/06/13 11:31:19.7049,5,1.0,62.0
69.39,2024/06/13 11:31:19.9099,3,1.0,64.0
69.431,2024/06/13 11:31:19.9509,5,1.0,62.0
69.636,2024/06/13 11:31:20.1559,3,1.0,64.0
69.678,2024/06/13 11:31:20.1979,5,1.0,62.0
69.882,2024/06/13 11:31:20.4019,3,1.0,64.0
69.923,2024/06/13 11:31:20.4429,5,1.0,62.0
70.129,2024/06/13 11:31:20.6489,3,1.0,64.0
70.17,2024/06/13 11:31:20.6899,5,1.0,62.0
70.375,2024/06/13 11:31:20.8949,3,1.0,64.0
